0.3578267732776065
977238655	0.22095826893353943
a37.png	0.05651848763227463	0.4639748206538691
a38.png	0.057833366096019745	0.265849102085091
0170.png	0.05837894231081009	0.3592913061392666
a47.png	0.07528217136859894	0.12273973776673237
0116.png	0.07575757056474686	0.3257693598072407
0093.png	0.08858341723680496	0.0
0007.png	0.09107748419046402	0.7610824873743814
0408.png	0.09190536290407181	0.07798126811987735
0117.png	0.09639070928096771	0.13040301404269894
0213.png	0.0968707799911499	0.0
0071.png	0.10358322411775589	0.025461165698374876
0052.png	0.1126629039645195	0.236328595519152
0234.png	0.11832830309867859	0.07754142180371688
0051.png	0.12636548280715942	0.11284759187497338
0042.png	0.12948188185691833	0.845040564230095
0028.png	0.1353335976600647	0.10642634135060129
0100.png	0.13560397922992706	0.48771179972523276
0006.png	0.1384461224079132	0.3365414149687724
0188.png	0.14009490609169006	0.6572380237387032
0238.png	0.142167329788208	0.06821967938389273
0026.png	0.14324595034122467	0.412659042714329
0268.png	0.14348964393138885	0.24248880148585164
0169.png	0.14413602650165558	0.19099291927475454
0065.png	0.1489080786705017	0.5808792377655787
0267.png	0.1495843529701233	0.06485408704929645
0018.png	0.1499873846769333	0.699814366614188
0037.png	0.15064533054828644	0.9088483752454035
0183.png	0.1520375907421112	0.3727175080558539
0200.png	0.1525718867778778	0.4961911829292302
0167.png	0.15653900802135468	0.8264167469562933
0032.png	0.15768232941627502	0.7855963822276129
0410.png	0.1587519645690918	0.40061662248792135
0250.png	0.16070780158042908	0.4932399282571803
0209.png	0.16239790618419647	0.5585495124324548
0257.png	0.16400504112243652	0.0365938385592833
0101.png	0.1642153561115265	0.13579884978605022
a31.png	0.1649901270866394	0.4454831602140384
0115.png	0.16622203588485718	0.20310040119851708
0058.png	0.16839009523391724	0.47519995239818913
a16.png	0.1690758764743805	0.5432906408046126
0190.png	0.1695890575647354	0.8047677012165518
0020.png	0.17090556025505066	0.5049085901450786
a53.png	0.17105495929718018	0.20993578911794525
0159.png	0.17221568524837494	0.268016807057371
a51.png	0.1734130084514618	0.19734318558872324
0203.png	0.1739024668931961	0.14982488087247206
0106.png	0.17394843697547913	0.22109962263693797
0099.png	0.1748456507921219	0.3237073289357692
0411.png	0.17561525106430054	0.626254784624508
0014.png	0.17584779858589172	0.06764749280672848
0421.png	0.17792338132858276	0.4122184319853642
0029.png	0.17852778732776642	0.14348322468972122
0240.png	0.17929555475711823	0.6910747769589987
0177.png	0.17994895577430725	0.30519512475189053
0431.png	0.17997920513153076	0.73540453244056
0109.png	0.18009640276432037	0.19087187348113807
a30.png	0.1814139187335968	0.6540292223616397
0110.png	0.1822180151939392	0.25296165119687347
0205.png	0.1838093400001526	0.06374393681409092
0005.png	0.18780910968780518	0.45487525851821825
0313.png	0.18812412023544312	0.3701864343761619
0075.png	0.18840767443180084	0.8553734286418536
0295.png	0.18932576477527618	0.35658176937820446
a42.png	0.18963012099266052	0.15374111745854813
0049.png	0.1897740662097931	0.11877296548400698
0245.png	0.1911230832338333	0.3323143961463659
0315.png	0.19497647881507874	0.40372463099630995
